date,kashima-antlers,jef-united,urawa-red-diamonds,tokyo-verdy,yokohama-fa-marinos,yokohama-flugels,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,kashiwa-reysol,shonan-bellmare,jubilo-iwata,consadole-sapporo,vissel-kobe,cerezo-osaka,kawasaki-frontale,fc-tokyo,avispa-fukuoka,kyoto-sanga,omiya-ardija,ventforet-kofu,montedio-yamagata,oita-trinita,sagan-tosu,yokohama-fc,tokushima-vortis,matsumoto-yamaga,v-varen-nagasaki,vegalta-sendai,albirex-niigata
2011-03-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011-03-06,10,10,10,10,6,10,10,6,1,6,1,10,1,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,6,1
2011-03-07,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-08,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-09,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-10,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-11,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-12,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-13,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-14,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-15,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-16,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-17,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-18,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-19,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-20,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-21,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-22,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-23,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-24,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-25,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-26,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-27,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-28,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-29,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-30,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-03-31,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-04-01,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-04-02,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-04-03,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
2011-04-04,7,13,13,13,7,13,13,7,1,7,1,13,1,13,1,13,1,13,13,13,7,13,13,13,13,13,13,13,13,7,1
